name,artists,release_date,danceability,energy,valence,acousticness,speechiness,instrumentalness,duration_ms,score,percentile,already_charted_in_tw
Boonie Life,['Rainer Scheurenbrand'],2019-02-02,0.924,0.244,0.73,0.664,0.519,0.0792,106731,0.8693878662322034,99.99473418002177,False
Intro,['8Ball & MJG'],,0.868,0.5770000000000001,0.4589999999999999,0.0225,0.26,0.0963,112067,0.86755795038188,99.9945956058118,False
Closure,['Nodfather'],2016-10-22,0.813,0.128,0.0744,0.00343,0.4589999999999999,0.098,236294,0.867504576296268,99.99445703160184,False
Puro Malo,"['Wordsound I-Powa', 'Likkle Jer', ""Rankin' Boopsman""]",1996-03-19,0.762,0.494,0.685,0.0328,0.413,0.095,235027,0.8673730458481476,99.9943184573919,False
120-12,"['Burnt Friedman', 'Jaki Liebezeit', 'Romain Sygroves']",2013-04-26,0.923,0.182,0.61,0.208,0.217,0.0982,247267,0.8671591886334623,99.99417988318194,False
Cloud Seeding,['Town and Country'],2006-01-24,0.8859999999999999,0.206,0.613,0.00826,0.102,0.0945,179747,0.8669975082945363,99.99404130897199,False
Platinum Girl - Intro,['Nodesha'],,0.8340000000000001,0.581,0.916,0.00899,0.0929,0.0846,47853,0.8651005795570244,99.99390273476203,False
Dance and Change,['KAZAKY'],2012-10-22,0.887,0.529,0.84,0.0127,0.191,0.089,164857,0.8648652831635651,99.99376416055208,False
СУТЕНЕРИТЬ (feat. Young P&H),"['Big Russian Boss', 'Young P&H']",2019-12-06,0.8809999999999999,0.8240000000000001,0.7090000000000001,0.0444,0.245,0.0985,149881,0.8644640918347545,99.99362558634213,False
Cause I'm - Slowed & Chopped,['DJ Red'],2020-11-24,0.963,0.184,0.115,0.06,0.379,0.0986,268471,0.8636301790423988,99.99348701213218,False
Keep It On,['Slum Village'],2009-04-15,0.8540000000000001,0.5379999999999999,0.606,0.0147,0.461,0.0838,184813,0.863400691329407,99.99334843792221,False
Se Você Pensa,['Lulu Santos'],1995-02-17,0.858,0.513,0.8390000000000001,0.0163,0.127,0.0955,193760,0.8629375315158814,99.99320986371227,False
Insane in the Brain,['Cypress Hill'],1993-07-20,0.901,0.63,0.73,0.0208,0.188,0.0987,210160,0.8627951415119873,99.99307128950231,False
A Little Night Music,"['John Morris Russell', 'Cincinnati Pops Orchestra']",2014-11-11,0.662,0.0129,0.366,0.416,0.434,0.0809,19729,0.8623777089944563,99.99293271529235,False
Piano (Interlude),['Oh No'],2012-06-05,0.517,0.855,0.963,0.0202,0.204,0.0983,47484,0.8622883678637564,99.99279414108241,False
Tequila Sunrise - Radio Edit,['Cypress Hill'],2008-02-15,0.8440000000000001,0.331,0.62,0.0288,0.462,0.0826,238293,0.8622702073401293,99.99265556687244,False
Baby Don't Break Your Baby's Heart (Single Version),['Kashif'],2012-09-14,0.919,0.32,0.898,0.0199,0.0558,0.094,250093,0.8615600847252708,99.9925169926625,False
Floatin',['The Primeridian'],2005-11-08,0.8809999999999999,0.621,0.877,0.0104,0.162,0.0938,199920,0.8611526888387779,99.99237841845255,False
"Hermit Songs, Op. 29: Sea-Snatch","['Samuel Barber', 'Leontyne Price']",,0.421,0.596,0.964,0.979,0.617,0.098,44760,0.8609192863964129,99.99223984424259,False
I Don't Want to be Your Amputee,['John Dowie'],2012-10-09,0.7759999999999999,0.317,0.884,0.963,0.386,0.0946,104840,0.8608704339246332,99.99210127003263,False
Dig On,['Pablo Moses'],2006-02-09,0.922,0.373,0.602,0.0239,0.327,0.0979,341493,0.8605241152538391,99.99196269582268,False
{ Adapt [Ing] Ive } |Assault|,['Karius Vega'],2007-01-01,0.5720000000000001,0.762,0.34,0.00296,0.649,0.0955,147493,0.8603541368249672,99.99182412161272,False
Smoking The Edge,['Dabrye'],2001-01-01,0.715,0.465,0.684,0.0235,0.495,0.0828,193400,0.8602169670026005,99.99168554740278,False
Sarah Jane,['JSD Band'],1996-01-01,0.812,0.42,0.732,0.135,0.2269999999999999,0.0887,138267,0.8600850771892365,99.99154697319283,False
Hot Chocolate,['Blackfrosty'],2020-11-27,0.8440000000000001,0.439,0.2789999999999999,0.286,0.28,0.0991,92134,0.8598947386019881,99.99140839898286,False
Lamp Head In The House I,['Half Pint'],,0.8190000000000001,0.485,0.63,0.0306,0.901,0.0448,77907,0.8596172430311901,99.99126982477291,False
Éternels Acharnés,['Les Ambassadeurs'],2016-02-06,0.892,0.785,0.7709999999999999,0.0287,0.243,0.0955,194357,0.8587000249325067,99.99113125056296,False
